! Number of elements/conserved properties
7
! Name
amu
crg
H
He
C
O
Mg
! Number of species
33
! Name        < Initial     amu  crg H  He C  O  Mg
He+           CH4           CH3+          He            H               82 2    8.500e-11    0.000e+00    0.000e+00
He+           OH            O+            He            H               83 2    1.100e-09    0.000e+00    0.000e+00
He+           H2O           OH            He            H+              84 2    2.040e-10    0.000e+00    0.000e+00
He+           H2O           OH+           He            H               85 2    2.860e-10    0.000e+00    0.000e+00
He+           CO            O             C+            He              86 2    1.600e-09    0.000e+00    0.000e+00
He+           CO            O+            C             He              87 2    1.400e-16   -5.000e-01    0.000e+00
He+           O2            O+            O             He              88 2    1.000e-09    0.000e+00    0.000e+00
C             OH+           O             CH+                           89 2    1.200e-09    0.000e+00    0.000e+00
C+            OH            CO+           H                             90 2    7.700e-10    0.000e+00    0.000e+00
C+            OH            CO            H+                            91 2    7.700e-10    0.000e+00    0.000e+00
C             CH5+          CH4           CH+                           92 2    1.200e-09    0.000e+00    0.000e+00
C             H2O+          OH            CH+                           93 2    1.100e-09    0.000e+00    0.000e+00
C+            H2O           HCO+          H                             94 2    9.000e-10    0.000e+00    0.000e+00
C             H3O+          HCO+          H2                            95 2    1.000e-11    0.000e+00    0.000e+00
C             HCO+          CO            CH+                           96 2    1.100e-09    0.000e+00    0.000e+00
C+            O2            CO+           O                             97 2    3.800e-10    0.000e+00    0.000e+00
C+            O2            CO            O+                            98 2    6.200e-10    0.000e+00    0.000e+00
C             O2+           CO+           O                             99 2    5.200e-11    0.000e+00    0.000e+00
CH+           O             CO+           H                            100 2    3.500e-10    0.000e+00    0.000e+00
CH            O+            CO+           H                            101 2    3.500e-10    0.000e+00    0.000e+00
CH            OH+           O             CH2+                         102 2    3.500e-10    0.000e+00    0.000e+00
CH+           OH            CO+           H2                           103 2    7.500e-10    0.000e+00    0.000e+00
CH            CH5+          CH4           CH2+                         104 2    6.900e-10    0.000e+00    0.000e+00
CH+           H2O           H3O+          C                            105 2    5.800e-10    0.000e+00    0.000e+00
CH            H2O+          OH            CH2+                         106 2    3.400e-10    0.000e+00    0.000e+00
CH+           H2O           HCO+          H2                           107 2    2.900e-09    0.000e+00    0.000e+00
CH            H3O+          H2O           CH2+                         108 2    6.800e-10    0.000e+00    0.000e+00
CH            CO+           HCO+          C                            109 2    3.200e-10    0.000e+00    0.000e+00
CH            HCO+          CO            CH2+                         110 2    6.300e-10    0.000e+00    0.000e+00
CH+           O2            CO+           OH                           111 2    1.000e-11    0.000e+00    0.000e+00
CH+           O2            HCO+          O                            112 2    9.700e-10    0.000e+00    0.000e+00
CH            O2+           HCO+          O                            113 2    3.100e-10    0.000e+00    0.000e+00
CH2+          O             HCO+          H                            114 2    7.500e-10    0.000e+00    0.000e+00
CH2           OH+           O             CH3+                         115 2    4.800e-10    0.000e+00    0.000e+00
CH2           CH5+          CH4           CH3+                         116 2    9.600e-10    0.000e+00    0.000e+00
CH2           H2O+          OH            CH3+                         117 2    4.700e-10    0.000e+00    0.000e+00
CH2           H3O+          H2O           CH3+                         118 2    9.400e-10    0.000e+00    0.000e+00
CH2           CO+           HCO+          CH                           119 2    4.300e-10    0.000e+00    0.000e+00
CH2           HCO+          CO            CH3+                         120 2    8.600e-10    0.000e+00    0.000e+00
CH2+          O2            HCO+          OH                           121 2    9.100e-10    0.000e+00    0.000e+00
CH3+          O             HCO+          H2                           122 2    4.000e-10    0.000e+00    0.000e+00
O+            CH4           OH            CH3+                         123 2    1.100e-10    0.000e+00    0.000e+00
O             CH4+          OH            CH3+                         124 2    1.000e-09    0.000e+00    0.000e+00
O+            OH            O2+           H                            125 2    3.600e-10    0.000e+00    0.000e+00
O             OH+           O2+           H                            126 2    7.100e-10    0.000e+00    0.000e+00
O             CH5+          H3O+          CH2                          127 2    2.200e-10    0.000e+00    0.000e+00
O             H2O+          O2+           H2                           128 2    4.000e-11    0.000e+00    0.000e+00
CH4+          CH4           CH5+          CH3                          129 2    1.500e-09    0.000e+00    0.000e+00
CH4           OH+           CH5+          O                            130 2    1.950e-10    0.000e+00    0.000e+00
CH4           OH+           H3O+          CH2                          131 2    1.310e-09    0.000e+00    0.000e+00
CH4+          H2O           H3O+          CH3                          132 2    2.600e-09    0.000e+00    0.000e+00
CH4           H2O+          H3O+          CH3                          133 2    1.400e-09    0.000e+00    0.000e+00
CH4+          CO            HCO+          CH3                          134 2    1.400e-09    0.000e+00    0.000e+00
CH4           CO+           HCO+          CH3                          135 2    4.550e-10    0.000e+00    0.000e+00
OH+           OH            H2O+          O                            136 2    7.000e-10    0.000e+00    0.000e+00
OH            CH5+          H2O+          CH4                          137 2    7.000e-10    0.000e+00    0.000e+00
OH+           H2O           H3O+          O                            138 2    1.300e-09    0.000e+00    0.000e+00
OH            H2O+          H3O+          O                            139 2    6.900e-10    0.000e+00    0.000e+00
OH+           CO            HCO+          O                            140 2    1.050e-09    0.000e+00    0.000e+00
OH            CO+           HCO+          O                            141 2    3.100e-10    0.000e+00    0.000e+00
OH            HCO+          CO            H2O+                         142 2    6.200e-10    0.000e+00    0.000e+00
CH5+          H2O           H3O+          CH4                          143 2    3.700e-09    0.000e+00    0.000e+00
CH5+          CO            HCO+          CH4                          144 2    1.000e-09    0.000e+00    0.000e+00
H2O+          H2O           H3O+          OH                           145 2    2.100e-09    0.000e+00    0.000e+00
H2O+          CO            HCO+          OH                           146 2    5.000e-10    0.000e+00    0.000e+00
H2O           CO+           HCO+          OH                           147 2    8.840e-10    0.000e+00    0.000e+00
H2O           HCO+          CO            H3O+                         148 2    2.500e-09    0.000e+00    0.000e+00
H+            H2            H2+           H                            149 2    1.000e-10    0.000e+00    2.120e+04
H             H2+           H2            H+                           150 2    6.400e-10    0.000e+00    0.000e+00
H             He+           He            H+                           151 2    4.850e-15    1.800e-01    0.000e+00
H+            CH            CH+           H                            152 2    1.900e-09    0.000e+00    0.000e+00
H+            CH2           CH2+          H                            153 2    1.400e-09    0.000e+00    0.000e+00
H+            CH3           CH3+          H                            154 2    3.400e-09    0.000e+00    0.000e+00
H             O+            O             H+                           155 2    5.660e-10    3.600e-01   -8.600e+00
H+            O             O+            H                            156 2    7.310e-10    2.300e-01    2.259e+02
H+            CH4           CH4+          H                            157 2    1.500e-09    0.000e+00    0.000e+00
H+            OH            OH+           H                            158 2    2.100e-09    0.000e+00    0.000e+00
H+            H2O           H2O+          H                            159 2    6.900e-09    0.000e+00    0.000e+00
H             CO+           CO            H+                           160 2    7.500e-10    0.000e+00    0.000e+00
H+            O2            O2+           H                            161 2    2.000e-09    0.000e+00    0.000e+00
H2            He+           He            H2+                          162 2    7.200e-15    0.000e+00    0.000e+00
H2+           CH            CH+           H2                           163 2    7.100e-10    0.000e+00    0.000e+00
H2+           CH2           CH2+          H2                           164 2    1.000e-09    0.000e+00    0.000e+00
H2+           CH4           CH4+          H2                           165 2    1.400e-09    0.000e+00    0.000e+00
H2+           OH            OH+           H2                           166 2    7.600e-10    0.000e+00    0.000e+00
H2+           H2O           H2O+          H2                           167 2    3.900e-09    0.000e+00    0.000e+00
H2+           CO            CO+           H2                           168 2    6.400e-10    0.000e+00    0.000e+00
H2+           O2            O2+           H2                           169 2    8.000e-10    0.000e+00    0.000e+00
He+           C             C+            He                           170 2    6.300e-15    7.500e-01    0.000e+00
He+           CH            CH+           He                           171 2    5.000e-10    0.000e+00    0.000e+00
He+           CH4           CH4+          He                           172 2    5.100e-11    0.000e+00    0.000e+00
He+           H2O           H2O+          He                           173 2    6.050e-11    0.000e+00    0.000e+00
He+           O2            O2+           He                           174 2    3.300e-11    0.000e+00    0.000e+00
C+            CH            CH+           C                            175 2    3.800e-10    0.000e+00    0.000e+00
C+            CH2           CH2+          C                            176 2    5.200e-10    0.000e+00    0.000e+00
C             CO+           CO            C+                           177 2    1.100e-10    0.000e+00    0.000e+00
C             O2+           O2            C+                           178 2    5.200e-11    0.000e+00    0.000e+00
CH            O+            O             CH+                          179 2    3.500e-10    0.000e+00    0.000e+00
CH            OH+           OH            CH+                          180 2    3.500e-10    0.000e+00    0.000e+00
CH            H2O+          H2O           CH+                          181 2    3.400e-10    0.000e+00    0.000e+00
CH            CO+           CO            CH+                          182 2    3.200e-10    0.000e+00    0.000e+00
CH            O2+           O2            CH+                          183 2    3.100e-10    0.000e+00    0.000e+00
CH2           O+            O             CH2+                         184 2    9.700e-10    0.000e+00    0.000e+00
CH2           OH+           OH            CH2+                         185 2    4.800e-10    0.000e+00    0.000e+00
CH2           H2O+          H2O           CH2+                         186 2    4.700e-10    0.000e+00    0.000e+00
CH2           CO+           CO            CH2+                         187 2    4.300e-10    0.000e+00    0.000e+00
CH2           O2+           O2            CH2+                         188 2    4.300e-10    0.000e+00    0.000e+00
O+            CH4           CH4+          O                            189 2    8.900e-10    0.000e+00    0.000e+00
O+            OH            OH+           O                            190 2    3.600e-10    0.000e+00    0.000e+00
O+            H2O           H2O+          O                            191 2    3.200e-09    0.000e+00    0.000e+00
O             CO+           CO            O+                           192 2    1.400e-10    0.000e+00    0.000e+00
O+            CO            CO+           O                            193 2    4.900e-12    5.000e-01    4.580e+03
O+            O2            O2+           O                            194 2    1.900e-11    0.000e+00    0.000e+00
CH4           CO+           CO            CH4+                         195 2    7.930e-10    0.000e+00    0.000e+00
CH4+          O2            O2+           CH4                          196 2    4.000e-10    0.000e+00    0.000e+00
OH+           H2O           H2O+          OH                           197 2    1.590e-09    0.000e+00    0.000e+00
OH            CO+           CO            OH+                          198 2    3.100e-10    0.000e+00    0.000e+00
OH+           O2            O2+           OH                           199 2    5.900e-10    0.000e+00    0.000e+00
H2O           CO+           CO            H2O+                         200 2    1.720e-09    0.000e+00    0.000e+00
H2O+          O2            O2+           H2O                          201 2    4.600e-10    0.000e+00    0.000e+00
CO+           O2            O2+           CO                           202 2    1.200e-10    0.000e+00    0.000e+00
H2+           e-            H             H                            203 2    1.600e-08   -4.300e-01    0.000e+00
H3+           e-            H             H             H              204 2    7.500e-08   -3.000e-01    0.000e+00
H3+           e-            H2            H                            205 2    2.500e-08   -3.000e-01    0.000e+00
CH+           e-            C             H                            206 2    1.500e-07   -4.200e-01    0.000e+00
CH2+          e-            CH            H                            207 2    1.600e-07   -6.000e-01    0.000e+00
CH2+          e-            C             H             H              208 2    4.030e-07   -6.000e-01    0.000e+00
CH2+          e-            C             H2                           209 2    7.680e-08   -6.000e-01    0.000e+00
CH3+          e-            CH2           H                            210 2    1.400e-07   -5.000e-01    0.000e+00
CH3+          e-            CH            H2                           211 2    4.900e-08   -5.000e-01    0.000e+00
CH3+          e-            CH            H             H              212 2    5.600e-08   -5.000e-01    0.000e+00
CH3+          e-            C             H2            H              213 2    1.050e-07   -5.000e-01    0.000e+00
CH4+          e-            CH3           H                            214 2    1.750e-07   -5.000e-01    0.000e+00
CH4+          e-            CH2           H             H              215 2    1.750e-07   -5.000e-01    0.000e+00
OH+           e-            O             H                            216 2    3.750e-08   -5.000e-01    0.000e+00
CH5+          e-            CH3           H2                           217 2    5.500e-07   -3.000e-01    0.000e+00
CH5+          e-            CH4           H                            218 2    5.500e-07   -3.000e-01    0.000e+00
H2O+          e-            O             H             H              219 2    2.450e-07   -5.000e-01    0.000e+00
H2O+          e-            O             H2                           220 2    3.600e-08   -5.000e-01    0.000e+00
H2O+          e-            OH            H                            221 2    7.920e-08   -5.000e-01    0.000e+00
H3O+          e-            O             H2            H              222 2    5.590e-09   -5.000e-01    0.000e+00
H3O+          e-            OH            H             H              223 2    2.580e-07   -5.000e-01    0.000e+00
H3O+          e-            OH            H2                           224 2    6.450e-08   -5.000e-01    0.000e+00
H3O+          e-            H2O           H                            225 2    1.080e-07   -5.000e-01    0.000e+00
CO+           e-            O             C                            226 2    2.000e-07   -4.800e-01    0.000e+00
HCO+          e-            CO            H                            227 2    1.100e-07   -1.000e+00    0.000e+00
O2+           e-            O             O                            228 2    1.950e-07   -7.000e-01    0.000e+00
H+            e-            H             PHOTON                       229 2    3.500e-12   -7.500e-01    0.000e+00
He+           e-            He            PHOTON                       230 2    2.360e-12   -6.400e-01    0.000e+00
C+            e-            C             PHOTON                       231 2    4.670e-12   -6.000e-01    0.000e+00
CH3+          e-            CH3           PHOTON                       232 2    1.100e-10   -5.000e-01    0.000e+00
O+            e-            O             PHOTON                       233 2    3.240e-12   -6.600e-01    0.000e+00
H+            H             H2+           PHOTON                       234 2    5.130e-19    1.850e+00    0.000e+00
H             C             CH            PHOTON                       235 2    1.000e-17    0.000e+00    0.000e+00
H             C+            CH+           PHOTON                       236 2    1.700e-17    0.000e+00    0.000e+00
H             O             OH            PHOTON                       237 2    9.900e-19   -3.800e-01    0.000e+00
H             OH            H2O           PHOTON                       238 2    5.260e-18   -5.220e+00    9.000e+01
H2            C             CH2           PHOTON                       239 2    1.000e-17    0.000e+00    0.000e+00
H2            C+            CH2+          PHOTON                       240 2    4.000e-16   -2.000e-01    0.000e+00
H2            CH            CH3           PHOTON                       241 2    5.090e-18   -7.100e-01    1.160e+01
H2            CH3+          CH5+          PHOTON                       242 2    1.300e-14   -1.000e+00    0.000e+00
C             O             CO            PHOTON                       243 2    2.100e-19    0.000e+00    0.000e+00
C+            O             CO+           PHOTON                       244 2    2.500e-18    0.000e+00    0.000e+00
O             O             O2            PHOTON                       245 2    4.900e-20    1.580e+00    0.000e+00
H2+           PHOTON        H+            H                            246 13   5.700e-10    0.000e+00    1.900e+00
H3+           PHOTON        H2+           H                            247 13   5.000e-13    0.000e+00    2.300e+00
H3+           PHOTON        H2            H+                           248 13   5.000e-13    0.000e+00    1.800e+00
C             PHOTON        C+            e-                           249 16   3.000e-10    0.000e+00    3.000e+00
CH            PHOTON        CH+           e-                           250 13   7.600e-10    0.000e+00    2.800e+00
CH            PHOTON        C             H                            251 13   8.600e-10    0.000e+00    1.200e+00
CH+           PHOTON        C+            H                            252 13   2.500e-10    0.000e+00    2.500e+00
CH2           PHOTON        CH2+          e-                           253 13   1.000e-09    0.000e+00    2.300e+00
CH2           PHOTON        CH            H                            254 13   7.200e-10    0.000e+00    1.700e+00
CH2+          PHOTON        CH+           H                            255 13   1.700e-09    0.000e+00    1.700e+00
CH3           PHOTON        CH3+          e-                           256 13   1.000e-10    0.000e+00    2.100e+00
CH3           PHOTON        CH2           H                            257 13   2.500e-10    0.000e+00    1.900e+00
CH3+          PHOTON        CH2+          H                            258 13   1.000e-09    0.000e+00    1.700e+00
CH3           PHOTON        CH            H2                           259 13   2.500e-10    0.000e+00    1.900e+00
CH3+          PHOTON        CH+           H2                           260 13   1.000e-09    0.000e+00    1.700e+00
CH4           PHOTON        CH3           H                            261 13   2.200e-10    0.000e+00    2.200e+00
CH4           PHOTON        CH2           H2                           262 13   9.800e-10    0.000e+00    2.200e+00
CH4           PHOTON        CH            H2            H              263 13   2.200e-10    0.000e+00    2.200e+00
OH            PHOTON        OH+           e-                           264 13   1.600e-12    0.000e+00    3.100e+00
OH            PHOTON        O             H                            265 13   3.500e-10    0.000e+00    1.700e+00
OH+           PHOTON        O             H+                           266 13   1.000e-12    0.000e+00    1.800e+00
H2O           PHOTON        OH            H                            267 13   5.900e-10    0.000e+00    1.700e+00
H2O           PHOTON        H2O+          e-                           268 13   3.300e-11    0.000e+00    3.900e+00
CO            PHOTON        O             C                            269 15   2.000e-10    0.000e+00    2.500e+00
O2            PHOTON        O             O                            270 13   6.900e-10    0.000e+00    1.800e+00
O2            PHOTON        O2+           e-                           271 13   5.600e-11    0.000e+00    3.700e+00
H             CRP           H+            e-                           272 1    5.980e-18    0.000e+00    0.000e+00
H2            CRP           H+            H             e-             273 1    2.600e-19    0.000e+00    0.000e+00
H2            CRP           H             H                            274 1    1.300e-18    0.000e+00    0.000e+00
H2            CRP           H2+           e-                           275 1    1.144e-17    0.000e+00    0.000e+00
He            CRP           He+           e-                           276 1    6.500e-18    0.000e+00    0.000e+00
C             CRP           C+            e-                           277 99   2.300e-17    0.000e+00    0.000e+00
O             CRP           O+            e-                           278 99   3.400e-17    0.000e+00    0.000e+00
CO            CRP           CO+           e-                           279 99   3.900e-17    0.000e+00    0.000e+00
C             CRPHOT        C+            e-                           280 3    1.300e-17    0.000e+00    5.100e+02
CH            CRPHOT        C             H                            281 3    1.300e-17    0.000e+00    7.560e+02
CH+           CRPHOT        C+            H                            282 3    1.300e-17    0.000e+00    1.830e+02
CH2           CRPHOT        CH2+          e-                           283 3    1.300e-17    0.000e+00    5.000e+02
CH2           CRPHOT        CH            H                            284 3    1.300e-17    0.000e+00    5.000e+02
CH3           CRPHOT        CH3+          e-                           285 3    1.300e-17    0.000e+00    5.000e+02
CH3           CRPHOT        CH2           H                            286 3    1.300e-17    0.000e+00    5.000e+02
CH3           CRPHOT        CH            H2                           287 3    1.300e-17    0.000e+00    5.000e+02
CH4           CRPHOT        CH2           H2                           288 3    1.300e-17    0.000e+00    2.272e+03
OH            CRPHOT        O             H                            289 3    1.300e-17    0.000e+00    5.220e+02
H2O           CRPHOT        OH            H                            290 3    1.300e-17    0.000e+00    9.790e+02
CO            CRPHOT        O             C                            291 3    1.300e-17    1.170e+00    1.000e+01
O2            CRPHOT        O             O                            292 3    1.300e-17    0.000e+00    7.300e+02
O2            CRPHOT        O2+           e-                           293 3    1.300e-17    0.000e+00    8.800e+01
H             H2            H             H             H              294 2    4.670e-07   -1.000e+00    5.500e+04
H             CH            C             H             H              295 2    6.000e-09    0.000e+00    4.020e+04
H             OH            O             H             H              296 2    6.000e-09    0.000e+00    5.090e+04
H             H2O           OH            H             H              297 2    5.800e-09    0.000e+00    5.290e+04
H             O2            O             O             H              298 2    6.000e-09    0.000e+00    5.230e+04
H2            e-            H             H             e-             299 2    3.220e-09    3.500e-01    1.020e+05
H2            H2            H2            H             H              300 2    1.000e-08    0.000e+00    8.410e+04
H2            CH            C             H2            H              301 2    6.000e-09    0.000e+00    4.020e+04
H2            OH            O             H2            H              302 2    6.000e-09    0.000e+00    5.090e+04
H2            H2O           OH            H2            H              303 2    5.800e-09    0.000e+00    5.290e+04
H2            O2            O             O             H2             304 2    6.000e-09    0.000e+00    5.230e+04
CH            O             HCO+          e-                           305 2    2.000e-11    4.400e-01    0.000e+00
H             H             H2                                         306 0    3.000e-18    0.500e+00    0.000e+00
H2                          H             H                            307 14   5.180e-11    0.000e+00    3.020e+00
Mg            PHOTON        Mg+           e-                           308 13   7.900e-11    0.000e+00    0.910e+00
