!MOLECULE
CH+
!MOLECULAR WEIGHT
13.0
!NUMBER OF ENERGY LEVELS
11
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1     0.0000          1.0     0
    2    27.8572          3.0     1
    3    83.5384          5.0     2
    4   166.9780          7.0     3
    5   278.0750          9.0     4
    6   416.7000         11.0     5
    7   582.6890         13.0     6
    8   775.8440         15.0     7
    9   995.9410         17.0     8
   10  1242.7200         19.0     9
   11  1515.9000         21.0    10
!NUMBER OF RADIATIVE TRANSITIONS                        
10                                                     
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1   6.3636E-03  40.08023       40.080249  
    2     3     2   6.0982E-02  80.11277      120.192980  
    3     4     3   2.1986E-01 120.05007      240.243089  
    4     5     4   5.3826E-01 159.84483      400.087851  
    5     6     5   1.0693E+00 199.45017      599.538066  
    6     7     6   1.8640E+00 238.81973      838.357775  
    7     8     7   2.9698E+00 277.90781     1116.265554  
    8     9     8   4.4307E+00 316.66949     1432.935088  
    9    10     9   6.2861E+00 355.06075     1787.995894  
   10    11    10   8.5716E+00 393.03858     2181.034466  
!NUMBER OF COLL PARTNERS         
1                               
!COLLISIONS BETWEEN              
6 CO-He from Hammami et al. 2008 and 2009                                                                                                                                                       
!NUMBER OF COLL TRANS                                                                                                                                                        
55                                                                                                                                                                           
!NUMBER OF COLL TEMPS                                                                                                                                                        
10                                                                                                                                                                           
!COLL TEMPS                                                                                                                                                                  
                 20             50             100            150            200            300            500            1000           1500           2000                 
!TRANS+ UP+ LOW+ Downward collision rates (cm^3 s^-1)                                                                                                                        
   41   10   5    2.5998e-12  2.3779e-12     2.4678e-12     2.7112e-12     2.9870e-12     3.5314E-12     4.4470E-12     6.3778E-12     8.1075E-12     9.5331E-12         
   42   10   6    8.6616e-12  8.4378e-12     9.2608e-12     1.0635e-11     1.2221e-11     1.5792E-11     2.3335E-11     4.0997E-11     5.4987E-11     6.5343E-11         
   43   10   7    5.9195e-12  5.3264e-12     5.3241e-12     5.6478e-12     6.0505e-12     6.9032E-12     8.4680E-12     1.1802E-11     1.4466E-11     1.6473E-11         
   44   10   8    3.0150e-11  2.8915e-11     3.0491e-11     3.3731e-11     3.7588e-11     4.6271E-11     6.3763E-11     9.9734E-11     1.2494E-10     1.4252E-10         
   45   10   9    2.1631e-11  1.8955e-11     1.7595e-11     1.7442e-11     1.7701e-11     1.8795E-11     2.1639E-11     2.8624E-11     3.4250E-11     3.8524E-11         
   46   11   1    1.6325e-13  1.6973e-13     1.9792e-13     2.3654e-13     2.7693e-13     3.7206E-13     5.7888E-13     1.2592E-12     2.0545E-12     2.7827E-12         
   47   11   2    4.2483e-13  4.2514e-13     4.8410e-13     5.7419e-13     6.7068e-13     8.7732E-13     1.2033E-12     1.7474E-12     2.2194E-12     2.6452E-12         
   48   11   3    8.4133e-13  8.7325e-13     1.0170e-12     1.2192e-12     1.4355e-12     1.9744E-12     3.2175E-12     7.1936E-12     1.1441E-11     1.5137E-11         
   49   11   4    1.1564e-12  1.1535e-12     1.2962e-12     1.5155e-12     1.7484e-12     2.2421E-12     3.0153E-12     4.3132E-12     5.3982E-12     6.3360E-12         
   50   11   5    1.8895e-12  1.9798e-12     2.3222e-12     2.8087e-12     3.3422e-12     4.7195E-12     7.8986E-12     1.7002E-11     2.5507E-11     3.2383E-11         
   51   11   6    2.5566e-12  2.5134e-12     2.7450e-12     3.1212e-12     3.5167e-12     4.3451E-12     5.6292E-12     7.7712E-12     9.4441E-12     1.0795E-11         
   52   11   7    4.9987e-12  5.1430e-12     5.8888e-12     6.9917e-12     8.2119e-12     1.1332E-11     1.8149E-11     3.5276E-11     4.9542E-11     6.0390E-11         
   53   11   8    5.8624e-12  5.6388e-12     5.8853e-12     6.4027e-12     6.9520e-12     8.1395E-12     1.0071E-11     1.3538E-11     1.6073E-11     1.7923E-11         
   54   11   9    2.0145e-11  2.0226e-11     2.1944e-11     2.4722e-11     2.7793e-11     3.5458E-11     5.1093E-11     8.5561E-11     1.1114E-10     1.2939E-10         
   55   11  10    2.2566e-11  2.1005e-11     2.0189e-11     2.0297e-11     2.0632e-11     2.1861E-11     2.4448E-11     3.0405E-11     3.5149E-11     3.8707E-11         
                                                                                                                                                                          
